Threshold,Sensitivity,Specificity,PPV,NPV,Balanced_Accuracy,F1_score,TN,FP,FN,TP
0.1,1.0,0.4909090909090909,0.4909090909090909,1.0,0.7454545454545455,0.6585365853658537,27,28,0,27
0.2,1.0,0.6727272727272727,0.6,1.0,0.8363636363636364,0.75,37,18,0,27
0.3,0.9629629629629629,0.8181818181818182,0.7222222222222222,0.9782608695652174,0.8905723905723906,0.8253968253968254,45,10,1,26
0.4,0.7777777777777778,0.8909090909090909,0.7777777777777778,0.8909090909090909,0.8343434343434344,0.7777777777777778,49,6,6,21
0.5,0.5555555555555556,0.9636363636363636,0.8823529411764706,0.8153846153846154,0.7595959595959596,0.6818181818181818,53,2,12,15
0.6,0.48148148148148145,0.9818181818181818,0.9285714285714286,0.7941176470588235,0.7316498316498317,0.6341463414634146,54,1,14,13
0.7,0.4074074074074074,0.9818181818181818,0.9166666666666666,0.7714285714285715,0.6946127946127946,0.5641025641025641,54,1,16,11
0.8,0.37037037037037035,0.9818181818181818,0.9090909090909091,0.7605633802816901,0.6760942760942761,0.5263157894736842,54,1,17,10
