params,mean_test_score,std_test_score,rank_test_score,model
"{'model__n_estimators': 1200, 'model__min_samples_split': 20, 'model__min_samples_leaf': 10, 'model__max_features': 'sqrt', 'model__max_depth': 6}",0.8814054162891374,0.04911479191486463,10,RandomForest
"{'model__n_estimators': 900, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 8}",0.8811386288130473,0.046366785174579817,11,RandomForest
"{'model__n_estimators': 1200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 10, 'model__max_features': 'sqrt', 'model__max_depth': None}",0.8809674821302729,0.05012695826016168,12,RandomForest
"{'model__n_estimators': 1200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 10, 'model__max_features': 'sqrt', 'model__max_depth': None}",0.8809674821302729,0.05012695826016168,12,RandomForest
"{'model__n_estimators': 1200, 'model__min_samples_split': 20, 'model__min_samples_leaf': 10, 'model__max_features': 'sqrt', 'model__max_depth': 12}",0.8809674821302729,0.05012695826016168,12,RandomForest
"{'model__n_estimators': 600, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': 12}",0.8807157958320749,0.054892996510406494,15,RandomForest
"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 4}",0.880222490687607,0.04926048053339446,16,RandomForest
"{'model__n_estimators': 1200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': 12}",0.8800815463606162,0.05582582651631967,17,RandomForest
"{'model__n_estimators': 900, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.8, 'model__max_depth': 8}",0.8798852310480217,0.051412168053666475,18,RandomForest
"{'model__n_estimators': 900, 'model__min_samples_split': 10, 'model__min_samples_leaf': 10, 'model__max_features': 'sqrt', 'model__max_depth': 6}",0.8796989831873553,0.04845221130494742,19,RandomForest
"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 10, 'model__max_features': 'sqrt', 'model__max_depth': None}",0.8794825329709051,0.05004724063514576,20,RandomForest
"{'model__n_estimators': 900, 'model__min_samples_split': 2, 'model__min_samples_leaf': 10, 'model__max_features': 'sqrt', 'model__max_depth': 12}",0.8794623980670492,0.05010157095246016,21,RandomForest
"{'model__n_estimators': 400, 'model__min_samples_split': 20, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': None}",0.8794623980670492,0.04699404820503015,21,RandomForest
"{'model__n_estimators': 1200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 4}",0.8794523306151213,0.05300809718885877,23,RandomForest
"{'model__n_estimators': 600, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 6}",0.8794170945333736,0.04823605562549626,24,RandomForest
"{'model__n_estimators': 600, 'model__min_samples_split': 5, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 6}",0.879381858451626,0.048835450942770496,25,RandomForest
