params,mean_test_score,std_test_score,rank_test_score,model
"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 31, 'model__max_iter': 800, 'model__max_depth': 2, 'model__learning_rate': np.float64(0.04000000000000001), 'model__l2_regularization': 0.0}",0.912745394140743,0.046349684931437554,1,HistGB
"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 63, 'model__max_iter': 800, 'model__max_depth': 5, 'model__learning_rate': np.float64(0.02), 'model__l2_regularization': 0.1}",0.9052149400986611,0.03098900054195906,2,HistGB
"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 127, 'model__max_iter': 800, 'model__max_depth': 2, 'model__learning_rate': np.float64(0.06000000000000001), 'model__l2_regularization': 1.0}",0.904112554112554,0.03965695826445465,3,HistGB
"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 31, 'model__max_iter': 800, 'model__max_depth': 2, 'model__learning_rate': np.float64(0.06000000000000001), 'model__l2_regularization': 0.1}",0.9016208597603945,0.033212287405105144,4,HistGB
"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 127, 'model__max_iter': 200, 'model__max_depth': 2, 'model__learning_rate': np.float64(0.14), 'model__l2_regularization': 1.0}",0.9010369475485754,0.04892132440040861,5,HistGB
"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 15, 'model__max_iter': 200, 'model__max_depth': 6, 'model__learning_rate': np.float64(0.16), 'model__l2_regularization': 0.1}",0.9004077318030805,0.03776919010184853,6,HistGB
"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 31, 'model__max_iter': 200, 'model__max_depth': 5, 'model__learning_rate': np.float64(0.10000000000000002), 'model__l2_regularization': 0.0}",0.899380851706433,0.04301784747253755,7,HistGB
"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 63, 'model__max_iter': 800, 'model__max_depth': 6, 'model__learning_rate': np.float64(0.10000000000000002), 'model__l2_regularization': 0.1}",0.8988221081244336,0.04398764283575554,8,HistGB
"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 127, 'model__max_iter': 800, 'model__max_depth': 4, 'model__learning_rate': np.float64(0.06000000000000001), 'model__l2_regularization': 0.1}",0.8984496124031007,0.04107100085981295,9,HistGB
"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 127, 'model__max_iter': 200, 'model__max_depth': 6, 'model__learning_rate': np.float64(0.2), 'model__l2_regularization': 0.0}",0.8955753548776805,0.042400433649551345,10,HistGB
"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 63, 'model__max_iter': 400, 'model__max_depth': 3, 'model__learning_rate': np.float64(0.10000000000000002), 'model__l2_regularization': 0.1}",0.8954696466324373,0.042960007999993874,11,HistGB
"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 31, 'model__max_iter': 400, 'model__max_depth': 3, 'model__learning_rate': np.float64(0.16), 'model__l2_regularization': 0.1}",0.8950518473774288,0.04656406132618051,12,HistGB
"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 31, 'model__max_iter': 200, 'model__max_depth': 3, 'model__learning_rate': np.float64(0.18000000000000002), 'model__l2_regularization': 0.0}",0.8938991241316823,0.04658721565219973,13,HistGB
"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 15, 'model__max_iter': 800, 'model__max_depth': 5, 'model__learning_rate': np.float64(0.02), 'model__l2_regularization': 1.0}",0.8917648243229639,0.030453595283490908,14,HistGB
"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 31, 'model__max_iter': 400, 'model__max_depth': None, 'model__learning_rate': np.float64(0.10000000000000002), 'model__l2_regularization': 0.5}",0.891150709755361,0.04452000494036501,15,HistGB
"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 127, 'model__max_iter': 200, 'model__max_depth': 6, 'model__learning_rate': np.float64(0.2), 'model__l2_regularization': 1.0}",0.8899375817980468,0.05128406356933901,16,HistGB
