model,auc,accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,cv_auc
LogReg_ElasticNet,0.9622895622895622,0.9024390243902439,0.898989898989899,0.8275862068965517,0.8888888888888888,0.8571428571428571,"[[50, 5], [3, 24]]",0.9241467834491092
HistGB,0.8895622895622896,0.7926829268292683,0.7511784511784512,0.7083333333333334,0.6296296296296297,0.6666666666666666,"[[48, 7], [10, 17]]",0.912745394140743
XGBoost,0.8821548821548821,0.7560975609756098,0.705050505050505,0.6521739130434783,0.5555555555555556,0.6,"[[47, 8], [12, 15]]",0.9103745092117187
RandomForest,0.8390572390572391,0.7682926829268293,0.7235690235690235,0.6666666666666666,0.5925925925925926,0.6274509803921569,"[[47, 8], [11, 16]]",0.8907127755964966
